[2025-03-25T15:27:32.097Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /media/system/js/core.js | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[2025-03-25T15:27:32.643Z] IP: ::1 | Method: GET | URL: /wp-includes/js/jquery/jquery.js | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[2025-03-25T15:30:22.541Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
[2025-03-25T15:33:11.601Z] IP: ::1 | Method: GET | URL: / | User-Agent: python-requests/2.32.3
[2025-03-25T15:39:34.181Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:39:53.069Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:40:26.264Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:41:03.720Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:57:27.182Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:57:50.959Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T15:59:09.188Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T16:00:47.616Z] IP: ::1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T16:04:12.534Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/119.0.2151.105 Version/17.0 Mobile/15E148 Safari/604.1
[2025-03-25T16:04:16.091Z] IP: ::1 | Method: GET | URL: /favicon.ico | User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15
[2025-03-25T16:05:42.100Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /.git/config | User-Agent: Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G950F Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36
[2025-03-25T16:18:42.703Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T16:19:51.018Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T16:20:15.256Z] IP: ::1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T16:21:20.819Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wordpress/wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
[2025-03-25T16:24:13.535Z] IP: ::1 | Method: GET | URL: / | User-Agent: Python/3.11 aiohttp/3.11.11
[2025-03-25T16:33:02.100Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36
[2025-03-25T16:38:47.501Z] IP: ::1 | Method: GET | URL: / | User-Agent: Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36
[2025-03-25T16:42:04.432Z] IP: ::ffff:127.0.0.1 | Method: GET | URL: /wp-admin/setup-config.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36
